id.source,id.local,id.global,firstName,lastName,nameAtBirth,dateOfBirth,placeOfBirth,plz,city
org,23425101818445920,23425101818445920,Ingrid,Goering,,03.12.1961,,87739,Breitenbrunn
dup,23425101818445920,23425101818445920,Injrid,Gomering,,03.12.1961,,87739,Breietnbrunn
org,71689080005019711,71689080005019711,Roland,Kaiser,,13.11.2004,,71034,Boeblingen
dup,71689080005019711,71689080005019711,Roland,Kaiser-Schmuck,,13.11.2004,,71034,Boeblingen
org,71847401932306317,71847401932306317,Edeltraud,Friedrich,,18.04.1941,,,
dup,71847401932306317,71847401932306317,Eseltraud,Friedricdh,,18.04.1941,,,
org,134398064423253482,134398064423253482,Guenther,Wagner,Janssen,10.09.1987,Dassel,,
dup,134398064423253482,134398064423253482,Guenther,Rauch,Janssen,10.09.1987,Dassel,,
org,191162273962897955,191162273962897955,Oliver,Reich,,14.07.1997,,44369,Dortmund
dup,191162273962897955,191162273962897955,Oliver,Reich,,14.07.1997,,44369,Dortmund
org,203144232143335545,203144232143335545,Kerstin,Kuehn,,13.06.1961,,70180,Stuttgart
dup,203144232143335545,203144232143335545,Lieselotte Kerstin,Kuehn,,13.06.1961,,70180,Stuttgart
org,271256567007984006,271256567007984006,Resi,Jaeger,,07.12.1964,,,
dup,271256567007984006,271256567007984006,Resi,Adrian-Jaeger,,07.12.1964,,,
org,363207891566807384,363207891566807384,Bernd,Ritschel,,20.04.1935,,19065,Pinnow
dup,363207891566807384,363207891566807384,Bernd Carmen,Ritschel,,20.04.1935,,19065,Pinnow
org,398789640604073467,398789640604073467,Nicole,Frey,,18.01.1997,,38446,Wolfsburg
dup,398789640604073467,398789640604073467,Nicolq,Freey,,18.01.1997,,38446,oWlfsburg
org,428528342321249110,428528342321249110,Guenter,Bender,,12.10.1960,,37639,Bevern
dup,428528342321249110,428528342321249110,Guenter,Renner,Bender,12.10.1960,,37639,Bevern
org,431271289407033277,431271289407033277,Dirk,Assmann,,22.03.2008,,71636,Ludwigsburg
dup,431271289407033277,431271289407033277,Dirk Rosemarie,Assmann,,22.03.2008,,71636,Ludwigsburg
org,452969570583200202,452969570583200202,Dieter,Hansen,Hansen,08.11.2002,Berlin,,
